ID,Fase,Actividad,Responsable,Inicio,Termino,Duracion_Dias,Dependencia,Entregable,Estado,Evidencia
G21,Documentacion EV2,Registrar control de avance KPI riesgos y actas,Equipo Campus Emprende,2026-05-09,2026-05-10,2,G18,Documentos de gestion,Completado,Entrega_EV2_TPY1101_Grupo8/Gestion/Control_Avance/KPI_Avance.csv
G22,Evidencia web,Levantar matriz de capturas para la demo funcional,Elias Delgado,2026-05-09,2026-05-09,1,G18,Control de evidencia visual,Completado,Entrega_EV2_TPY1101_Grupo8/Documentacion/Evidencias_Web/lista_capturas_requeridas.csv
G23,Evidencia web,Registrar capturas faltantes por modulo y responsable,Equipo Campus Emprende,2026-05-10,2026-05-11,2,G22,Checklist de capturas,Requiere evidencia,Entrega_EV2_TPY1101_Grupo8/Documentacion/Evidencias_Web/README_CAPTURAS.md
G24,Evidencia web,Preparar evidencia tecnica documental para Swagger y arquitectura,Elias Delgado,2026-05-10,2026-05-10,1,G22,Respaldo tecnico sin imagen,Completado,Entrega_EV2_TPY1101_Grupo8/Producto/Evidencia_Software/checklist_funcionalidades.csv
G25,Preparacion de defensa,Ordenar presentacion EV2 con mensajes clave y notas orales,Equipo Campus Emprende,2026-05-10,2026-05-11,2,G19,Presentacion base,Completado,Entrega_EV2_TPY1101_Grupo8/Documentacion/Presentacion_EV2_Campus_Emprende.md
G26,Preparacion de defensa,Consolidar guion de exposicion y respuestas tecnicas,Elias Delgado,2026-05-10,2026-05-11,2,G25,Guion de defensa,Completado,Entrega_EV2_TPY1101_Grupo8/Documentacion/Guion_Defensa_EV2.md
G27,Preparacion de defensa,Repasar demo funcional y secuencia de exposicion,Alcindo/Alcido,2026-05-11,2026-05-12,2,G25,Secuencia de demo,Parcial,Entrega_EV2_TPY1101_Grupo8/Gestion/Minuta_Reunion_Alcindo.md
G28,Revision final y entrega,Depurar tono documental y estados de evidencia,Elias Delgado,2026-05-10,2026-05-10,1,G21,Version final de documentos,Completado,docs/TECHNICAL_AUDIT.md
G29,Revision final y entrega,Verificar diferencias contra main y consistencia de entrega,Elias Delgado,2026-05-10,2026-05-10,1,G28,Control final de cambios,Completado,CHANGELOG.md
G30,Revision final y entrega,Incorporar capturas reales antes de exportar y comprimir,Equipo Campus Emprende,2026-05-11,2026-05-12,2,G23,Entrega exportable con anexos,Requiere evidencia,Entrega_EV2_TPY1101_Grupo8/README_EXPORTACION.md
